,entry_time,exit_time,date,ticker,side,entry_px,exit_px,pnl_pct,net_pnl_pct,qty,net_pnl_inr,long_conv,short_conv,score_15m,cum_pnl_inr
110,2026-06-10 12:15:00,2026-06-10 13:15:00,2026-06-10,M&MFIN.NS,SHORT,282.2,281.65,0.1949,0.0949,352,94.27,-0.002839956432580948,0.002839956432580948,-3.8113930225372314,10470.839999999995
111,2026-06-10 13:15:00,2026-06-10 14:15:00,2026-06-10,SAIL.NS,SHORT,183.65,183.12,0.2886,0.1886,541,187.38,-0.0427757129073143,0.0427757129073143,-2.5773210525512695,10658.219999999994
112,2026-06-10 13:15:00,2026-06-10 14:15:00,2026-06-10,NTPC.NS,LONG,355.15,353.2,-0.5491,-0.6491,280,-645.44,0.00801626592874527,-0.00801626592874527,2.991567611694336,10012.779999999993
113,2026-06-10 13:15:00,2026-06-10 14:15:00,2026-06-10,VEDL.NS,SHORT,300.6,299.7,0.2994,0.1994,331,198.4,-0.041382282972335815,0.041382282972335815,-2.970975399017334,10211.179999999993
114,2026-06-10 13:15:00,2026-06-10 14:15:00,2026-06-10,SBILIFE.NS,LONG,1745.0,1744.0,-0.0573,-0.1573,57,-156.47,0.014926999807357788,-0.014926999807357788,2.9418692588806152,10054.709999999994
115,2026-06-10 13:15:00,2026-06-10 14:15:00,2026-06-10,SKFINDIA.NS,LONG,1592.2,1582.0,-0.6406,-0.7406,62,-731.12,0.008459780365228653,-0.008459780365228653,3.0365233421325684,9323.589999999993
116,2026-06-10 14:15:00,2026-06-11 09:15:00,2026-06-10,GRASIM.NS,LONG,3085.9,3056.4,-0.956,-1.056,32,-1042.75,0.012172840535640717,-0.012172840535640717,1.9784533977508545,8280.839999999993
117,2026-06-10 14:15:00,2026-06-11 09:15:00,2026-06-10,CHOLAFIN.NS,LONG,1487.2,1462.4,-1.6676,-1.7676,66,-1734.96,0.0090351402759552,-0.0090351402759552,2.4779977798461914,6545.879999999993
118,2026-06-10 14:15:00,2026-06-11 09:15:00,2026-06-10,ABB.NS,LONG,6811.0,6780.0,-0.4551,-0.5551,14,-529.35,0.008718430995941162,-0.008718430995941162,2.0290985107421875,6016.5299999999925
119,2026-06-10 14:15:00,2026-06-11 09:15:00,2026-06-10,AARTIIND.NS,SHORT,434.95,427.15,1.7933,1.6933,228,1679.23,-0.009140178561210632,0.009140178561210632,-3.6825273036956787,7695.759999999993
120,2026-06-10 14:15:00,2026-06-11 09:15:00,2026-06-10,PRESTIGE.NS,SHORT,1347.0,1317.4,2.1975,2.0975,73,2062.47,-0.007044121623039246,0.007044121623039246,-3.6825273036956787,9758.229999999992
121,2026-06-11 09:15:00,2026-06-11 10:15:00,2026-06-11,BHEL.NS,SHORT,377.35,375.15,0.583,0.483,263,479.36,-0.01130683347582817,0.01130683347582817,-2.348527431488037,10237.589999999993
122,2026-06-11 09:15:00,2026-06-11 10:15:00,2026-06-11,EXIDEIND.NS,SHORT,385.85,385.95,-0.0259,-0.1259,257,-124.86,-0.015310730785131454,0.015310730785131454,-2.348527431488037,10112.729999999992
123,2026-06-11 09:15:00,2026-06-11 10:15:00,2026-06-11,UPL.NS,LONG,599.75,600.7,0.1584,0.0584,165,57.79,0.009215161204338074,-0.009215161204338074,3.1913375854492188,10170.519999999993
124,2026-06-11 09:15:00,2026-06-11 10:15:00,2026-06-11,DALBHARAT.NS,LONG,1614.5,1618.1,0.223,0.123,61,121.12,0.01078508049249649,-0.01078508049249649,3.005862236022949,10291.639999999994
125,2026-06-11 09:15:00,2026-06-11 10:15:00,2026-06-11,RECLTD.NS,LONG,342.55,341.45,-0.3211,-0.4211,290,-418.34,0.010251693427562714,-0.010251693427562714,3.2506563663482666,9873.299999999994
126,2026-06-11 10:15:00,2026-06-11 11:15:00,2026-06-11,AUBANK.NS,LONG,966.95,961.7,-0.5429,-0.6429,102,-634.13,0.011267803609371185,-0.011267803609371185,2.8818156719207764,9239.169999999995
127,2026-06-11 10:15:00,2026-06-11 11:15:00,2026-06-11,NTPC.NS,LONG,349.1,351.75,0.7591,0.6591,285,655.76,0.00832781195640564,-0.00832781195640564,3.0643720626831055,9894.929999999995
128,2026-06-11 10:15:00,2026-06-11 11:15:00,2026-06-11,IDFCFIRSTB.NS,LONG,73.05,72.82,-0.3149,-0.4149,1362,-412.75,0.00767391175031662,-0.00767391175031662,3.1253952980041504,9482.179999999995
129,2026-06-11 10:15:00,2026-06-11 11:15:00,2026-06-11,BRIGADE.NS,SHORT,487.5,487.4,0.0205,-0.0795,204,-79.05,-0.0359090156853199,0.0359090156853199,-2.5274438858032227,9403.129999999996
130,2026-06-11 10:15:00,2026-06-11 11:15:00,2026-06-11,CUMMINSIND.NS,SHORT,5687.5,5637.0,0.8879,0.7879,17,761.81,-0.00683969259262085,0.00683969259262085,-2.1843390464782715,10164.939999999995
131,2026-06-11 11:15:00,2026-06-11 12:15:00,2026-06-11,BRIGADE.NS,SHORT,487.4,486.65,0.1539,0.0539,204,53.57,-0.03395940735936165,0.03395940735936165,-1.7044894695281982,10218.509999999995
132,2026-06-11 11:15:00,2026-06-11 12:15:00,2026-06-11,BALKRISIND.NS,LONG,2023.1,2012.6,-0.519,-0.619,49,-613.63,0.0055211856961250305,-0.0055211856961250305,4.439238548278809,9604.879999999996
133,2026-06-11 11:15:00,2026-06-11 12:15:00,2026-06-11,ZEEL.NS,SHORT,106.85,105.99,0.8049,0.7049,931,701.18,-0.019487150013446808,0.019487150013446808,-1.4620845317840576,10306.059999999996
134,2026-06-11 11:15:00,2026-06-11 12:15:00,2026-06-11,AUBANK.NS,LONG,961.7,966.3,0.4783,0.3783,103,374.74,0.007851090282201767,-0.007851090282201767,3.954986095428467,10680.799999999996
135,2026-06-11 11:15:00,2026-06-11 12:15:00,2026-06-11,BERGEPAINT.NS,LONG,514.4,512.7,-0.3305,-0.4305,193,-427.38,0.006831411272287369,-0.006831411272287369,4.647183418273926,10253.419999999996
136,2026-06-11 12:15:00,2026-06-11 13:15:00,2026-06-11,PAGEIND.NS,LONG,37905.0,37950.0,0.1187,0.0187,2,14.19,0.009444702416658401,-0.009444702416658401,3.2858381271362305,10267.609999999997
137,2026-06-11 12:15:00,2026-06-11 13:15:00,2026-06-11,SCHAEFFLER.NS,LONG,3927.1,3925.2,-0.0484,-0.1484,25,-145.68,0.007943660020828247,-0.007943660020828247,3.213387966156006,10121.929999999997
138,2026-06-11 12:15:00,2026-06-11 13:15:00,2026-06-11,SHREECEM.NS,LONG,23650.0,23725.0,0.3171,0.2171,4,205.4,0.007029615342617035,-0.007029615342617035,2.9586715698242188,10327.329999999996
139,2026-06-11 12:15:00,2026-06-11 13:15:00,2026-06-11,LAURUSLABS.NS,SHORT,1399.6,1392.0,0.543,0.443,71,440.23,-0.006768327206373215,0.006768327206373215,-2.349803924560547,10767.559999999996
140,2026-06-11 12:15:00,2026-06-11 13:15:00,2026-06-11,NYKAA.NS,SHORT,260.9,260.4,0.1916,0.0916,381,91.1,-0.005311064422130585,0.005311064422130585,-2.52176570892334,10858.659999999996
141,2026-06-11 13:15:00,2026-06-11 14:15:00,2026-06-11,NAVINFLUOR.NS,SHORT,7120.0,7146.0,-0.3652,-0.4652,13,-430.56,-0.0049944594502449036,0.0049944594502449036,-4.03237247467041,10428.099999999997
142,2026-06-11 13:15:00,2026-06-11 14:15:00,2026-06-11,GRASIM.NS,LONG,3090.2,3106.1,0.5145,0.4145,32,409.91,0.005329534411430359,-0.005329534411430359,2.743269920349121,10838.009999999997
143,2026-06-11 13:15:00,2026-06-11 14:15:00,2026-06-11,BHEL.NS,SHORT,371.45,372.35,-0.2423,-0.3423,267,-339.48,-0.007795296609401703,0.007795296609401703,-3.7789552211761475,10498.529999999997
144,2026-06-11 13:15:00,2026-06-11 14:15:00,2026-06-11,CHAMBLFERT.NS,LONG,467.65,469.95,0.4918,0.3918,212,388.46,0.0077100880444049835,-0.0077100880444049835,2.4667723178863525,10886.989999999996
145,2026-06-11 13:15:00,2026-06-11 14:15:00,2026-06-11,CHOLAFIN.NS,LONG,1457.9,1456.5,-0.096,-0.196,68,-194.34,0.007241491228342056,-0.007241491228342056,2.5757126808166504,10692.649999999996
146,2026-06-11 14:15:00,2026-06-12 09:15:00,2026-06-11,CHAMBLFERT.NS,LONG,469.95,467.5,-0.5213,-0.6213,211,-616.11,0.011124085634946823,-0.011124085634946823,5.731493949890137,10076.539999999995
147,2026-06-11 14:15:00,2026-06-12 09:15:00,2026-06-11,BERGEPAINT.NS,LONG,511.2,515.4,0.8216,0.7216,194,715.63,0.010061297565698624,-0.010061297565698624,5.323544025421143,10792.169999999995
148,2026-06-11 14:15:00,2026-06-12 09:15:00,2026-06-11,RECLTD.NS,LONG,337.8,340.2,0.7105,0.6105,294,606.29,0.008817840367555618,-0.008817840367555618,6.238054275512695,11398.459999999995
149,2026-06-11 14:15:00,2026-06-12 09:15:00,2026-06-11,BRIGADE.NS,SHORT,486.5,496.6,-2.0761,-2.1761,204,-2159.65,-0.038778211921453476,0.038778211921453476,-1.784151315689087,9238.809999999996
150,2026-06-11 14:15:00,2026-06-12 09:15:00,2026-06-11,AARTIIND.NS,SHORT,429.35,434.1,-1.1063,-1.2063,231,-1196.43,-0.006947547197341919,0.006947547197341919,-1.674783706665039,8042.379999999996
151,2026-06-12 09:15:00,2026-06-12 10:15:00,2026-06-12,LAURUSLABS.NS,SHORT,1408.2,1391.5,1.1859,1.0859,70,1070.43,-0.012410260736942291,0.012410260736942291,-3.7531614303588867,9112.809999999996
152,2026-06-12 09:15:00,2026-06-12 10:15:00,2026-06-12,ZEEL.NS,SHORT,114.0,113.0,0.8772,0.7772,872,772.59,-0.01758105866611004,0.01758105866611004,-3.748795509338379,9885.399999999996
153,2026-06-12 09:15:00,2026-06-12 10:15:00,2026-06-12,BRITANNIA.NS,LONG,5130.5,5142.0,0.2241,0.1241,19,121.02,0.008526884019374847,-0.008526884019374847,2.3480167388916016,10006.419999999996
154,2026-06-12 09:15:00,2026-06-12 10:15:00,2026-06-12,UNITDSPR.NS,LONG,1261.9,1267.2,0.42,0.32,78,314.97,0.006790239363908768,-0.006790239363908768,2.010331153869629,10321.389999999996
155,2026-06-12 09:15:00,2026-06-12 10:15:00,2026-06-12,LTTS.NS,LONG,3321.1,3316.0,-0.1536,-0.2536,29,-244.21,0.004659105092287064,-0.004659105092287064,2.3480167388916016,10077.179999999997
156,2026-06-12 10:15:00,2026-06-12 11:15:00,2026-06-12,BERGEPAINT.NS,LONG,514.6,518.2,0.6996,0.5996,193,595.48,0.009010206907987595,-0.009010206907987595,2.7331857681274414,10672.659999999996
157,2026-06-12 10:15:00,2026-06-12 11:15:00,2026-06-12,PETRONET.NS,LONG,266.3,266.15,-0.0563,-0.1563,373,-155.28,0.00884973257780075,-0.00884973257780075,2.7331857681274414,10517.379999999996
158,2026-06-12 10:15:00,2026-06-12 11:15:00,2026-06-12,MARUTI.NS,LONG,13216.0,13175.0,-0.3102,-0.4102,7,-379.51,0.006845995783805847,-0.006845995783805847,2.6939451694488525,10137.869999999995
159,2026-06-12 10:15:00,2026-06-12 11:15:00,2026-06-12,WIPRO.NS,SHORT,178.59,178.69,-0.056,-0.156,557,-155.17,-0.03295009583234787,0.03295009583234787,-2.540844440460205,9982.699999999995
160,2026-06-12 10:15:00,2026-06-12 11:15:00,2026-06-12,TATACHEM.NS,SHORT,754.0,745.55,1.1207,1.0207,131,1008.18,-0.006265431642532349,0.006265431642532349,-2.4811081886291504,10990.879999999996
161,2026-06-12 11:15:00,2026-06-12 12:15:00,2026-06-12,METROPOLIS.NS,SHORT,526.0,521.65,0.827,0.727,189,722.74,-0.0050362832844257355,0.0050362832844257355,-4.014808654785156,11713.619999999995
162,2026-06-12 11:15:00,2026-06-12 12:15:00,2026-06-12,JKCEMENT.NS,LONG,4711.5,4711.0,-0.0106,-0.1106,21,-109.44,0.008784525096416473,-0.008784525096416473,1.661750078201294,11604.179999999995
163,2026-06-12 11:15:00,2026-06-12 12:15:00,2026-06-12,JUBLFOOD.NS,LONG,416.0,414.65,-0.3245,-0.4245,239,-422.07,0.0065429359674453735,-0.0065429359674453735,1.9375065565109253,11182.109999999995
164,2026-06-12 11:15:00,2026-06-12 12:15:00,2026-06-12,BHARATFORG.NS,LONG,1926.2,1925.5,-0.0363,-0.1363,51,-133.94,0.005788199603557587,-0.005788199603557587,1.661750078201294,11048.169999999995
165,2026-06-12 11:15:00,2026-06-12 12:15:00,2026-06-12,KPIL.NS,SHORT,1273.1,1267.4,0.4477,0.3477,78,345.3,-0.0077542588114738464,0.0077542588114738464,-4.059195041656494,11393.469999999994
166,2026-06-12 12:15:00,2026-06-12 13:15:00,2026-06-12,ADANIGREEN.NS,SHORT,1464.7,1470.7,-0.4096,-0.5096,67,-500.13,-0.00794457271695137,0.00794457271695137,-1.8279168605804443,10893.339999999995
167,2026-06-12 12:15:00,2026-06-12 13:15:00,2026-06-12,TATACOMM.NS,SHORT,1961.1,1953.4,0.3926,0.2926,50,286.94,-0.01000412181019783,0.01000412181019783,-1.840635895729065,11180.279999999995
168,2026-06-12 12:15:00,2026-06-12 13:15:00,2026-06-12,APOLLOHOSP.NS,LONG,8480.0,8511.0,0.3656,0.2656,11,247.72,0.004457302391529083,-0.004457302391529083,3.7675352096557617,11427.999999999995
169,2026-06-12 12:15:00,2026-06-12 13:15:00,2026-06-12,GODREJCP.NS,LONG,1020.2,1021.5,0.1274,0.0274,97,27.14,0.006068263202905655,-0.006068263202905655,3.0426783561706543,11455.139999999994
170,2026-06-12 12:15:00,2026-06-12 13:15:00,2026-06-12,TORNTPHARM.NS,LONG,4607.0,4582.5,-0.5318,-0.6318,21,-611.25,0.008124537765979767,-0.008124537765979767,3.467513084411621,10843.889999999994
171,2026-06-12 13:15:00,2026-06-12 14:15:00,2026-06-12,TORNTPHARM.NS,LONG,4582.5,4574.3,-0.1789,-0.2789,21,-268.43,0.007864173501729965,-0.007864173501729965,3.916511058807373,10575.459999999994
172,2026-06-12 13:15:00,2026-06-12 14:15:00,2026-06-12,SUNPHARMA.NS,LONG,1807.0,1806.6,-0.0221,-0.1221,55,-121.39,0.004997488111257553,-0.004997488111257553,4.549015998840332,10454.069999999994
173,2026-06-12 13:15:00,2026-06-12 14:15:00,2026-06-12,DEEPAKNTR.NS,LONG,1659.5,1666.9,0.4459,0.3459,59,338.69,0.004644483327865601,-0.004644483327865601,3.916511058807373,10792.759999999995
174,2026-06-12 13:15:00,2026-06-12 14:15:00,2026-06-12,BHEL.NS,SHORT,372.4,376.9,-1.2084,-1.3084,267,-1300.93,-0.00826064869761467,0.00826064869761467,-1.806793451309204,9491.829999999994
175,2026-06-12 13:15:00,2026-06-12 14:15:00,2026-06-12,PAYTM.NS,SHORT,1040.3,1070.3,-2.8838,-2.9838,95,-2948.83,-0.0060463547706604,0.0060463547706604,-1.7197463512420654,6542.9999999999945
176,2026-06-12 14:15:00,2026-06-15 09:15:00,2026-06-12,BERGEPAINT.NS,LONG,512.6,529.2,3.2384,3.1384,194,3120.96,0.006706908345222473,-0.006706908345222473,3.761967658996582,9663.959999999995
177,2026-06-12 14:15:00,2026-06-15 09:15:00,2026-06-12,APOLLOTYRE.NS,LONG,390.0,408.2,4.6667,4.5667,255,4541.55,0.006103113293647766,-0.006103113293647766,4.193577766418457,14205.509999999995
178,2026-06-12 14:15:00,2026-06-15 09:15:00,2026-06-12,DALBHARAT.NS,LONG,1649.2,1710.0,3.6866,3.5866,60,3549.05,0.004432305693626404,-0.004432305693626404,3.2770354747772217,17754.559999999994
